Ensembl ID;genes;Phase
ENSG00000141338;ABCA8;S
ENSG00000122971;ACADS;G2M
ENSG00000134575;ACP2;G2M
ENSG00000102575;ACP5;G1
ENSG00000151726;ACSL1;S+G2M
ENSG00000169717;ACTRT2;G1
ENSG00000140955;ADAD2;G2M
ENSG00000168594;ADAM29;G2M
ENSG00000129467;ADCY4;G1
ENSG00000121281;ADCY7;G2M
ENSG00000155897;ADCY8;G1
ENSG00000153531;ADPRHL1;G2M
ENSG00000173020;ADRBK1;G2M
ENSG00000139154;AEBP2;G2M
ENSG00000169129;AFAP1L2;G1
ENSG00000084693;AGBL5;G1
ENSG00000158669;AGPAT6;G1
ENSG00000113492;AGXT2;G1
ENSG00000147853;AK3;G1
ENSG00000198074;AKR1B10;G2M
ENSG00000151632;AKR1C2;S+G2M
ENSG00000162482;AKR7A3;G2M
ENSG00000132746;ALDH3B2;G2M
ENSG00000239382;ALKBH6;G2M
ENSG00000163283;ALPP;G2M
ENSG00000003393;ALS2;G2M
ENSG00000178038;ALS2CL;G2M
ENSG00000176248;ANAPC2;S
ENSG00000144504;ANKMY1;G2M
ENSG00000163516;ANKZF1;G1
ENSG00000011426;ANLN;G2M
ENSG00000164111;ANXA5;G2M
ENSG00000103723;AP3B2;G2M
ENSG00000115266;APC2;G2M
ENSG00000117362;APH1A;G2M
ENSG00000166181;API5;G2M
ENSG00000128394;APOBEC3F;G2M
ENSG00000130208;APOC1;G2M
ENSG00000234906;APOC2;G2M
ENSG00000100342;APOL1;G2M
ENSG00000198931;APRT;G1
ENSG00000171885;AQP4;G2M
ENSG00000101199;ARFGAP1;S
ENSG00000149182;ARFGAP2;G2M
ENSG00000138639;ARHGAP24;G2M
ENSG00000006740;ARHGAP44;G2M
ENSG00000165801;ARHGEF40;G2M
ENSG00000102606;ARHGEF7;G2M
ENSG00000175414;10,00 ARL;G2M
ENSG00000128989;ARPP19;G1
ENSG00000140450;ARRDC4;G2M
ENSG00000141337;ARSG;G2M
ENSG00000004848;ARX;G2M
ENSG00000108684;ASIC2;G2M
ENSG00000213199;ASIC3;G1
ENSG00000198356;ASNA1;G1
ENSG00000108381;ASPA;G2M
ENSG00000197548;ATG7;G1
ENSG00000177556;ATOX1;G2M
ENSG00000163399;ATP1A1;G1
ENSG00000129244;ATP1B2;G1
ENSG00000186009;ATP4B;G2M
ENSG00000205464;ATP6AP1L;G1
ENSG00000147416;ATP6V1B2;G1
ENSG00000178999;AURKB;G2M
ENSG00000166148;AVPR1A;G1
ENSG00000141577;AZI1;S+G2M
ENSG00000174684;B3GNT1;G1
ENSG00000175866;BAIAP2;G2M
ENSG00000007516;BAIAP3;G2M
ENSG00000138376;BARD1;G2M
ENSG00000105327;BBC3;G1
ENSG00000187244;BCAM;G2M
ENSG00000075790;BCAP29;S
ENSG00000107949;BCCIP;S+G2M
ENSG00000127152;BCL11B;G1
ENSG00000069399;BCL3;S
ENSG00000089685;BIRC5;G2M
ENSG00000125378;BMP4;G2M
ENSG00000124508;BTN2A2;G1
ENSG00000169679;BUB1;G1
ENSG00000082153;BZW1;S
ENSG00000176029;C11orf16;G2M
ENSG00000134548;C12orf39;G2M
ENSG00000156411;C14orf2;G2M
ENSG00000161992;C16orf11;G2M
ENSG00000141219;C17orf80;G2M
ENSG00000187997;C17orf99;S
ENSG00000104979;C19orf53;G2M
ENSG00000178965;C1orf173;G2M
ENSG00000125462;C1orf61;G2M
ENSG00000173918;C1QTNF1;S+G2M
ENSG00000174928;C3orf33;G2M
ENSG00000164123;C4orf45;G2M
ENSG00000197603;C5orf42;G1
ENSG00000178722;C5orf64;G1
ENSG00000175600;C7orf10;G2M
ENSG00000164645;C7orf62;G2M
ENSG00000241852;C8orf58;G2M
ENSG00000180539;C9orf139;G2M
ENSG00000197768;C9orf173;G2M
ENSG00000185015;CA13;G2M
ENSG00000118298;CA14;G1
ENSG00000164879;CA3;G2M
ENSG00000167434;CA4;G2M
ENSG00000135932;CAB39;G2M
ENSG00000154040;CABYR;G2M
ENSG00000141837;CACNA1A;G1
ENSG00000196557;CACNA1H;G2M
ENSG00000166862;CACNG2;G1
ENSG00000108509;CAMTA2;G2M
ENSG00000131236;CAP1;G2M
ENSG00000064012;CASP8;G1
ENSG00000183741;CBX6;G2M
ENSG00000171097;CCBL1;S
ENSG00000176476;CCDC101;G2M
ENSG00000147144;CCDC120;G2M
ENSG00000104957;CCDC130;G2M
ENSG00000198003;CCDC151;G2M
ENSG00000172156;CCL11;G2M
ENSG00000181374;CCL13;G2M
ENSG00000115009;CCL20;G2M
ENSG00000112237;CCNC;G1
ENSG00000112576;CCND3;G1
ENSG00000163249;CCNYL1;G1
ENSG00000146574;CCZ1B;G2M
ENSG00000139193;CD27;G2M
ENSG00000169217;CD2BP2;S
ENSG00000130177;CDC16;S
ENSG00000094880;CDC23;S
ENSG00000101224;CDC25B;G2M
ENSG00000168438;CDC40;G2M
ENSG00000096401;CDC5L;G2M
ENSG00000094804;CDC6;S
ENSG00000111665;CDCA3;G2M
ENSG00000170779;CDCA4;G2M
ENSG00000146670;CDCA5;G2M
ENSG00000134690;CDCA8;G2M
ENSG00000128536;CDHR3;G2M
ENSG00000170312;CDK1;G2M
ENSG00000167258;CDK12;G2M
ENSG00000117266;CDK18;G2M
ENSG00000123374;CDK2;G2M
ENSG00000138769;CDKL2;G2M
ENSG00000124762;CDKN1A;G2M
ENSG00000111276;CDKN1B;G2M
ENSG00000147883;CDKN2B;G2M
ENSG00000129355;CDKN2D;G1
ENSG00000100526;CDKN3;G2M
ENSG00000167513;CDT1;S
ENSG00000113722;CDX1;G2M
ENSG00000165556;CDX2;G2M
ENSG00000172216;CEBPB;G1
ENSG00000143702;CEP170;G2M
ENSG00000138180;CEP55;G1
ENSG00000198848;CES1;G2M
ENSG00000003402;CFLAR;G2M
ENSG00000167670;CHAF1A;S+G2M
ENSG00000254505;CHMP4A;G2M
ENSG00000176108;CHMP6;G2M
ENSG00000181072;CHRM2;G2M
ENSG00000133019;CHRM3;G1
ENSG00000184984;CHRM5;G2M
ENSG00000115526;CHST10;G1
ENSG00000131873;CHSY1;G2M
ENSG00000114737;CISH;G1
ENSG00000164442;CITED2;G2M
ENSG00000188037;CLCN1;G2M
ENSG00000150048;CLEC1A;G1
ENSG00000110852;CLEC2B;G2M
ENSG00000169504;CLIC4;G2M
ENSG00000013441;CLK1;G1
ENSG00000174600;CMKLR1;G2M
ENSG00000183723;CMTM4;G1
ENSG00000205423;CNEP1R1;G2M
ENSG00000112280;COL9A1;G2M
ENSG00000148444;COMMD3;G2M
ENSG00000168090;COPS6;G2M
ENSG00000163626;COX18;G2M
ENSG00000131055;COX4I2;S+G2M
ENSG00000111775;COX6A1;G2M
ENSG00000156885;COX6A2;G1
ENSG00000127054;CPSF3L;G2M
ENSG00000110090;CPT1A;G2M
ENSG00000072832;CRMP1;G1
ENSG00000100122;CRYBB1;G2M
ENSG00000100053;CRYBB3;G2M
ENSG00000163599;CTLA4;G1
ENSG00000132792;CTNNBL1;S
ENSG00000143387;CTSK;G1
ENSG00000178531;CTXN1;G2M
ENSG00000055130;CUL1;G2M
ENSG00000108094;CUL2;G1
ENSG00000166266;CUL5;G2M
ENSG00000168329;CX3CR1;G2M
ENSG00000186810;CXCR3;G1
ENSG00000174151;CYB561D1;G2M
ENSG00000140505;CYP1A2;G2M
ENSG00000111012;CYP27B1;G1
ENSG00000197446;CYP2F1;G2M
ENSG00000164488;DACT2;G2M
ENSG00000129562;DAD1;S
ENSG00000134780;DAGLA;G2M
ENSG00000118655;DCLRE1B;G1
ENSG00000175203;DCTN2;G1
ENSG00000167986;DDB1;G2M
ENSG00000157349;DDX19B;G1
ENSG00000123064;DDX54;G2M
ENSG00000162777;DENND2D;G2M
ENSG00000105339;DENND3;G1
ENSG00000100056;DGCR14;G2M
ENSG00000065357;DGKA;G1
ENSG00000102967;DHODH;G2M
ENSG00000132153;DHX30;G1
ENSG00000211452;DIO1;G2M
ENSG00000162946;DISC1;G1
ENSG00000105880;DLX5;G2M
ENSG00000176399;DMRTA1;S+G2M
ENSG00000154099;DNAAF1;G2M
ENSG00000122735;DNAI1;G2M
ENSG00000135924;DNAJB2;G2M
ENSG00000205981;DNAJC19;G2M
ENSG00000107554;DNMBP;G1
ENSG00000254986;DPP3;G2M
ENSG00000143507;DUSP10;G2M
ENSG00000158716;DUSP23;S+G2M
ENSG00000130829;DUSP9;G2M
ENSG00000161202;DVL3;G2M
ENSG00000168589;DYNLRB2;G2M
ENSG00000256061;DYX1C1;G1
ENSG00000147654;EBAG9;G2M
ENSG00000167658;EEF2;S
ENSG00000172771;EFCAB12;G2M
ENSG00000114654;EFCC1;G2M
ENSG00000013016;EHD3;G2M
ENSG00000086232;EIF2AK1;G2M
ENSG00000184110;EIF3C;G2M
ENSG00000075151;EIF4G3;G1
ENSG00000100664;EIF5;S
ENSG00000149499;EML3;G2M
ENSG00000165521;EML5;G1
ENSG00000127507;EMR2;G1
ENSG00000124074;ENKD1;G2M
ENSG00000182156;ENPP7;G2M
ENSG00000120616;EPC1;G2M
ENSG00000133216;EPHB2;G2M
ENSG00000049283;EPN3;G2M
ENSG00000198758;EPS8L3;G1
ENSG00000023318;ERP44;G1
ENSG00000149564;ESAM;G2M
ENSG00000135476;ESPL1;G2M
ENSG00000091831;ESR1;G1
